iter	Passed	Remaining
0	2	273
1	4	221
2	6	204
3	8	202
4	10	199
5	12	200
6	14	197
7	16	192
8	18	188
9	20	185
10	22	181
11	24	181
12	27	182
13	29	180
14	31	176
15	33	173
16	34	169
17	36	167
18	38	166
19	41	164
20	42	161
21	44	158
22	46	155
23	49	155
24	51	154
25	53	151
26	55	149
27	57	146
28	58	143
29	61	142
30	63	140
31	65	138
32	67	136
33	69	134
34	70	131
35	72	129
36	75	127
37	77	125
38	78	123
39	80	120
40	82	118
41	84	116
42	86	115
43	89	113
44	91	111
45	93	109
46	95	107
47	97	105
48	99	103
49	101	101
50	103	99
51	105	97
52	107	95
53	109	93
54	111	91
55	113	89
56	115	87
57	117	85
58	119	82
59	121	80
60	123	78
61	125	76
62	126	74
63	128	72
64	130	70
65	132	68
66	134	66
67	136	64
68	138	62
69	141	60
70	143	58
71	145	56
72	147	54
73	149	52
74	151	50
75	153	48
76	155	46
77	157	44
78	160	42
79	162	40
80	163	38
81	166	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	178	24
88	180	22
89	182	20
90	185	18
91	187	16
92	189	14
93	190	12
94	192	10
95	195	8
96	197	6
97	199	4
98	201	2
99	203	0
